"IndividualId","Time [min]","Organism|Kidney|Urine|Rifampicin [µmol]","Organism|PeripheralVenousBlood|Rifampicin|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Rifampicin|Concentration in container [µmol/l]","Organism|Lumen|Rifampicin|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0
0,3,0.05521693,0.8785966,2.250797,0
0,6,0.1782194,1.744259,2.896287,0
0,9,0.3449214,2.443896,3.426278,0
0,12,0.5454409,3.021536,3.880145,0
0,15,0.7741929,3.511655,4.280786,0
0,18,1.027593,3.938891,4.643006,0
0,21,1.303164,4.320512,4.977073,0
0,24,1.599117,4.668705,5.290317,0
0,27,1.914141,4.992179,5.588036,0
0,30,2.247263,5.297218,5.874191,0
0,33,2.597753,5.588448,6.151637,0
0,36,2.965065,5.869257,6.422639,0
0,39,3.348789,6.142226,6.688641,0
0,42,3.748612,6.409172,6.951152,0
0,45,4.164307,6.671723,7.210806,0
0,48,4.595694,6.930681,7.468362,0
0,51,5.042646,7.187219,7.724411,0
0,54,5.50505,7.441396,7.979155,0
0,57,5.982816,7.693985,8.232284,0
0,60,6.47589,7.945396,8.485709,0
0,63,6.984221,8.195728,8.73721,0
0,66,7.507759,8.445179,8.988928,0
0,69,8.046469,8.693929,9.239794,0
0,72,8.600318,8.942015,9.490161,0
0,75,9.169272,9.189467,9.739967,0
0,78,9.753296,9.436306,9.989172,0
0,81,10.35236,9.682527,10.23775,0
0,84,10.96641,9.92811,10.48566,0
0,87,11.59542,10.17303,10.73285,0
0,90,12.23936,10.41725,10.97928,0
0,93,12.89816,10.66073,11.22488,0
0,96,13.57178,10.90342,11.46962,0
0,99,14.26018,11.14527,11.71343,0
0,102,14.96329,11.38624,11.95626,0
0,105,15.68108,11.62628,12.19806,0
0,108,16.41346,11.86534,12.43879,0
0,111,17.16038,12.10336,12.67839,0
0,114,17.92178,12.34031,12.91682,0
0,117,18.69758,12.57614,13.15403,0
0,120,19.48771,12.8108,13.38999,0
0,135,23.65071,13.96534,14.54975,0
0,150,28.16016,15.08589,15.67375,0
0,165,33.0052,16.16991,16.75986,0
0,180,38.17445,17.21612,17.80714,0
0,195,42.79449,14.15674,13.73987,0
0,210,46.76916,12.53587,12.31948,0
0,225,50.36966,11.43527,11.2964,0
0,240,53.68599,10.56201,10.4607,0
0,255,56.76485,9.81911,9.739554,0
0,270,59.63673,9.166864,9.101639,0
0,285,62.32451,8.584839,8.5298,0
0,300,64.84669,8.060093,8.012698,0
0,315,67.21872,7.583577,7.542047,0
0,330,69.45376,7.148455,7.111524,0
0,345,71.56323,6.749235,6.715915,0
0,360,73.55711,6.381417,6.350997,0
0,375,75.44419,6.04137,6.013048,0
0,390,77.23219,5.725664,5.699169,0
0,405,78.92809,5.432279,5.407185,0
0,420,80.53817,5.158604,5.134472,0
0,435,82.06799,4.902652,4.879364,0
0,450,83.52267,4.663132,4.640574,0
0,465,84.90691,4.438422,4.416129,0
0,480,86.22494,4.227202,4.205229,0
0,495,87.48064,4.02844,4.006691,0
0,510,88.67766,3.841258,3.819634,0
0,525,89.81933,3.664742,3.643164,0
0,540,90.90874,3.498108,3.476529,0
0,555,91.94878,3.340685,3.319058,0
0,570,92.94213,3.191842,3.170125,0
0,585,93.8913,3.051014,3.02918,0
0,600,94.79864,2.917691,2.895717,0
0,615,95.66635,2.79142,2.769351,0
0,630,96.49647,2.671688,2.649499,0
0,645,97.29098,2.55823,2.535885,0
0,660,98.05169,2.450604,2.428054,0
0,675,98.78034,2.348555,2.325858,0
0,690,99.47854,2.251559,2.228789,0
0,705,100.1478,2.159607,2.136632,0
0,720,100.7897,2.072135,2.049019,0
0,735,101.4054,1.989072,1.965794,0
0,750,101.9963,1.910181,1.886732,0
0,765,102.5637,1.835222,1.811714,0
0,780,103.1086,1.763874,1.740239,0
0,795,103.6322,1.696089,1.672337,0
0,810,104.1355,1.63162,1.607763,0
0,825,104.6196,1.570287,1.546331,0
0,840,105.0853,1.511931,1.487888,0
0,855,105.5335,1.456405,1.432281,0
0,870,105.965,1.403553,1.379359,0
0,885,106.3807,1.353247,1.32899,0
0,900,106.7814,1.305344,1.281034,0
0,915,107.1677,1.259733,1.235377,0
0,930,107.5403,1.216288,1.191894,0
0,945,107.8999,1.174905,1.150479,0
0,960,108.2472,1.135475,1.111025,0
0,975,108.5826,1.097902,1.073436,0
0,990,108.9067,1.062093,1.037617,0
0,1005,109.2202,1.027956,1.003477,0
0,1020,109.5234,0.9954127,0.970937,0
0,1035,109.8168,0.9643779,0.9399123,0
0,1050,110.101,0.9347813,0.9103311,0
0,1065,110.3762,0.9065453,0.8821158,0
0,1080,110.643,0.8796084,0.855206,0
0,1095,110.9018,0.8539014,0.8295315,0
0,1110,111.1528,0.829365,0.8050316,0
0,1125,111.3965,0.8059399,0.781648,0
0,1140,111.6331,0.7835736,0.7593288,0
0,1155,111.8631,0.7622119,0.7380183,0
0,1170,112.0867,0.7418026,0.7176628,0
0,1185,112.3041,0.7223045,0.6982237,0
0,1200,112.5157,0.7036696,0.679653,0
0,1215,112.7217,0.6858547,0.661904,0
0,1230,112.9224,0.6688168,0.6449339,0
0,1245,113.118,0.6525258,0.6287169,0
0,1260,113.3087,0.6369405,0.6132097,0
0,1275,113.4948,0.6220216,0.5983674,0
0,1290,113.6764,0.6077401,0.5841653,0
0,1305,113.8537,0.5940729,0.570586,0
0,1320,114.0269,0.5809801,0.5575812,0
0,1335,114.1962,0.568425,0.5451081,0
0,1350,114.3618,0.556402,0.5331764,0
0,1365,114.5237,0.5448876,0.5217652,0
0,1380,114.6823,0.533834,0.5107981,0
0,1395,114.8375,0.5232207,0.5002772,0
0,1410,114.9895,0.5130317,0.490189,0
0,1425,115.1386,0.5032552,0.4805146,0
0,1440,115.2847,0.4938742,0.4712374,0
