"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Midazolam|Whole Blood (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Kidney|Urine|Midazolam|Fraction excreted to urine","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa","Organism|Liver|Periportal|Intracellular|Midazolam-CYP3A4-Optimized Metabolite|Fraction of dose-Midazolam","Organism|Liver|Periportal|Intracellular|Midazolam-UGT1A4-Optimized Metabolite|Fraction of dose-Midazolam"
0,315,0.004827345,0.003277425,0.004097832,0.001148756,1,0.3722491,0.008673857
0,330,0.004486186,0.00304579,0.003808489,0.001163635,1,0.374947,0.008736705
0,345,0.00417493,0.002834464,0.003545124,0.001177473,1,0.3774555,0.008795143
0,360,0.00389,0.002641018,0.003304505,0.001190362,1,0.3797915,0.008849561
0,375,0.003628419,0.002463428,0.003083955,0.001202384,1,0.3819698,0.008900304
0,390,0.00338768,0.002299991,0.002881239,0.001213608,1,0.3840033,0.008947676
0,405,0.003165653,0.00214926,0.00269447,0.0012241,1,0.3859037,0.008991946
0,420,0.002960515,0.002009996,0.002522042,0.001233915,1,0.3876813,0.009033358
0,435,0.002770689,0.001881129,0.002362576,0.001243106,1,0.3893456,0.009072129
0,450,0.002594804,0.001761726,0.002214879,0.001251718,1,0.3909051,0.009108456
0,465,0.002431652,0.001650967,0.002077907,0.001259795,1,0.3923673,0.009142519
0,480,0.002280163,0.001548128,0.001950741,0.001267375,1,0.3937393,0.009174482
0,495,0.002139386,0.00145256,0.001832565,0.001274492,1,0.3950277,0.009204494
0,510,0.002008469,0.001363686,0.001722653,0.001281181,1,0.3962382,0.009232693
0,525,0.001886644,0.001280984,0.001620355,0.00128747,1,0.3973763,0.009259207
0,540,0.001773217,0.001203983,0.001525082,0.001293388,1,0.3984471,0.00928415
0,555,0.001667556,0.001132254,0.001436301,0.001298959,1,0.399455,0.00930763
0,570,0.001569085,0.001065405,0.001353528,0.001304207,1,0.4004045,0.009329748
0,585,0.001477276,0.00100308,0.001276318,0.001309154,1,0.4012994,0.009350595
0,600,0.001391646,0.0009449486,0.001204268,0.001313821,1,0.4021434,0.009370256
0,615,0.001311752,0.0008907107,0.001137005,0.001318225,1,0.4029399,0.009388811
0,630,0.001237181,0.0008400867,0.001074186,0.001322384,1,0.403692,0.009406332
0,645,0.001167558,0.0007928214,0.001015496,0.001326315,1,0.4044027,0.009422888
0,660,0.00110253,0.0007486752,0.0009606411,0.001330032,1,0.4050747,0.009438543
0,675,0.001041776,0.0007074305,0.0009093535,0.001333549,1,0.4057105,0.009453354
0,690,0.0009849957,0.000668883,0.0008613826,0.001336879,1,0.4063125,0.009467378
0,705,0.0009319132,0.0006328457,0.000816499,0.001340035,1,0.4068829,0.009480665
0,720,0.0008822718,0.0005991445,0.0007744888,0.001343027,1,0.4074236,0.009493262
0,735,0.0008358337,0.0005676177,0.000735154,0.001345866,1,0.4079367,0.009505212
0,750,0.000792378,0.0005381154,0.0006983108,0.001348562,1,0.4084237,0.009516559
0,765,0.000751699,0.000510498,0.000663788,0.001351124,1,0.4088865,0.009527339
0,780,0.0007136062,0.0004846362,0.0006314271,0.001353559,1,0.4093265,0.009537588
0,795,0.0006779219,0.0004604094,0.0006010799,0.001355877,1,0.4097451,0.00954734
0,810,0.0006444816,0.0004377058,0.0005726098,0.001358084,1,0.4101436,0.009556624
0,825,0.000613132,0.0004164216,0.0005458893,0.001360187,1,0.4105234,0.009565472
0,840,0.0005837313,0.0003964603,0.0005208001,0.001362193,1,0.4108855,0.009573908
0,855,0.000556147,0.000377732,0.0004972321,0.001364107,1,0.4112311,0.009581957
0,870,0.0005302561,0.0003601534,0.0004750829,0.001365935,1,0.4115611,0.009589644
0,885,0.0005059449,0.0003436471,0.0004542579,0.001367683,1,0.4118764,0.00959699
0,900,0.0004831066,0.0003281406,0.0004346681,0.001369354,1,0.412178,0.009604016
0,915,0.0004616413,0.0003135662,0.0004162304,0.001370954,1,0.4124667,0.00961074
0,930,0.0004414591,0.0002998628,0.0003988699,0.001372486,1,0.4127432,0.009617181
0,945,0.0004224724,0.0002869711,0.0003825137,0.001373955,1,0.4130081,0.009623353
