"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Kidney|Urine|Midazolam|Fraction excreted to urine","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa","Organism|Liver|Periportal|Intracellular|Midazolam-UGT1A4-Optimized Metabolite|Fraction of dose-Midazolam"
0,810,0.0006981508,0.0006234709,0.005004961,0,0.02088787
0,825,0.000665349,0.0005954157,0.005011836,0,0.02091678
0,840,0.0006345474,0.0005690372,0.005018404,0,0.0209444
0,855,0.0006056129,0.0005442245,0.005024683,0,0.0209708
0,870,0.000578421,0.0005208743,0.005030691,0,0.02099605
0,885,0.0005528548,0.0004988892,0.005036442,0,0.02102023
0,900,0.0005288082,0.0004781809,0.005041953,0,0.02104339
0,915,0.0005061789,0.0004586642,0.005047237,0,0.02106559
0,930,0.0004848729,0.0004402606,0.005052306,0,0.02108689
0,945,0.0004648022,0.000422897,0.005057174,0,0.02110734
0,960,0.0004458838,0.0004065038,0.005061851,0,0.02112699
0,975,0.0004280422,0.0003910182,0.005066348,0,0.02114588
0,990,0.000411206,0.0003763805,0.005070676,0,0.02116405
0,1005,0.0003953098,0.0003625363,0.005074842,0,0.02118155
0,1020,0.0003802927,0.0003494347,0.005078857,0,0.02119841
0,1035,0.0003660975,0.000337028,0.005082727,0,0.02121466
0,1050,0.0003526714,0.0003252721,0.005086462,0,0.02123034
0,1065,0.0003399648,0.0003141256,0.005090067,0,0.02124547
0,1080,0.0003279315,0.0003035499,0.005093549,0,0.02126009
0,1095,0.0003165287,0.0002935092,0.005096916,0,0.02127421
0,1110,0.0003057156,0.0002839692,0.005100171,0,0.02128788
0,1125,0.0002954549,0.0002748988,0.005103322,0,0.02130109
0,1140,0.0002857128,0.0002662698,0.005106373,0,0.02131389
0,1155,0.0002764552,0.0002580537,0.005109328,0,0.02132629
0,1170,0.0002676521,0.0002502255,0.005112194,0,0.02133831
0,1185,0.0002592761,0.0002427617,0.005114973,0,0.02134997
0,1200,0.0002512995,0.0002356392,0.005117669,0,0.02136128
0,1215,0.0002436985,0.000228838,0.005120287,0,0.02137226
0,1230,0.0002364508,0.00022234,0.005122831,0,0.02138293
0,1245,0.0002295348,0.0002161272,0.005125302,0,0.02139329
0,1260,0.0002229307,0.0002101824,0.005127705,0,0.02140336
0,1275,0.0002166195,0.0002044893,0.005130042,0,0.02141316
0,1290,0.0002105838,0.0001990329,0.005132317,0,0.0214227
0,1305,0.0002048078,0.0001938007,0.005134531,0,0.02143198
0,1320,0.0001992769,0.0001887811,0.005136687,0,0.02144102
0,1335,0.0001939771,0.0001839625,0.005138788,0,0.02144983
0,1350,0.0001888946,0.0001793323,0.005140836,0,0.02145841
0,1365,0.0001840162,0.0001748783,0.005142832,0,0.02146677
0,1380,0.0001793297,0.0001705896,0.005144779,0,0.02147493
0,1395,0.0001748256,0.00016646,0.005146679,0,0.02148289
0,1410,0.0001704947,0.0001624828,0.005148533,0,0.02149066
0,1425,0.0001663278,0.000158651,0.005150342,0,0.02149825
0,1440,0.0001623149,0.0001549539,0.00515211,0,0.02150565
