"IndividualId","Time [min]","Organism|Kidney|Urine|Rifampicin [µmol]","Organism|PeripheralVenousBlood|Rifampicin|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Rifampicin|Concentration in container [µmol/l]","Organism|Lumen|Rifampicin|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0
0,3,0.04140966,0.6588547,1.687568,0
0,6,0.1336221,1.307403,2.169944,0
0,9,0.258509,1.830468,2.564423,0
0,12,0.4085864,2.260939,2.900609,0
0,15,0.579595,2.62467,3.195743,0
0,18,0.768779,2.940177,3.461054,0
0,21,0.9742182,3.220474,3.704293,0
0,24,1.194516,3.474765,3.93102,0
0,27,1.428632,3.709639,4.145295,0
0,30,1.675789,3.929868,4.350106,0
0,33,1.935391,4.138959,4.547681,0
0,36,2.206986,4.339512,4.739696,0
0,39,2.490223,4.533473,4.927397,0
0,42,2.784832,4.722312,5.111738,0
0,45,3.0906,4.90715,5.293449,0
0,48,3.40736,5.08883,5.473061,0
0,51,3.73498,5.267987,5.650969,0
0,54,4.073354,5.445109,5.827519,0
0,57,4.422397,5.620574,6.002926,0
0,60,4.782035,5.79468,6.177355,0
0,63,5.152208,5.967645,6.350944,0
0,66,5.532865,6.139646,6.523844,0
0,69,5.92396,6.310825,6.696139,0
0,72,6.325455,6.481276,6.867774,0
0,75,6.737308,6.650986,7.038568,0
0,78,7.159478,6.819941,7.208601,0
0,81,7.591921,6.988149,7.378139,0
0,84,8.034608,7.155849,7.547738,0
0,87,8.487514,7.323117,7.716744,0
0,90,8.950616,7.489935,7.884432,0
0,93,9.423865,7.655909,8.051382,0
0,96,9.907215,7.821167,8.218699,0
0,99,10.40064,7.986058,8.384574,0
0,102,10.9041,8.150134,8.549749,0
0,105,11.41756,8.313848,8.716476,0
0,108,11.94102,8.477108,8.87837,0
0,111,12.47436,8.638953,9.041902,0
0,114,13.01756,8.80017,9.203442,0
0,117,13.57055,8.960543,9.36563,0
0,120,14.13332,9.120242,9.526622,0
0,135,17.092,9.907138,10.3178,0
0,150,20.28741,10.67264,11.08652,0
0,165,23.71272,11.41512,11.83128,0
0,180,27.36079,12.13361,12.55134,0
0,195,30.58801,9.846514,9.542137,0
0,210,33.34735,8.693813,8.545207,0
0,225,35.84579,7.932378,7.841359,0
0,240,38.14904,7.334183,7.269832,0
0,255,40.28981,6.826559,6.777001,0
0,270,42.28895,6.380707,6.340508,0
0,285,44.16196,5.982,5.948247,0
0,300,45.92117,5.621771,5.592968,0
0,315,47.57712,5.294293,5.269,0
0,330,49.13863,4.994414,4.97185,0
0,345,50.61343,4.718749,4.698197,0
0,360,52.0082,4.464452,4.445717,0
0,375,53.32896,4.228949,4.211338,0
0,390,54.58099,4.010181,3.99354,0
0,405,55.76905,3.806475,3.790572,0
0,420,56.89742,3.616362,3.601006,0
0,435,57.96997,3.438554,3.423571,0
