"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Midazolam|Whole Blood (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,1230,0.000295057,0.0002004796,0.0002763052,1
0,1245,0.0002859803,0.0001943148,0.0002681942,1
0,1260,0.0002773291,0.0001884389,0.000260448,1
0,1275,0.000269079,0.0001828353,0.000253046,1
0,1290,0.0002612044,0.0001774867,0.0002459665,1
0,1305,0.0002536839,0.0001723785,0.0002391913,1
0,1320,0.0002464968,0.0001674966,0.0002327032,1
0,1335,0.0002396235,0.0001628279,0.0002264862,1
0,1350,0.0002330451,0.0001583593,0.0002205246,1
0,1365,0.0002267445,0.0001540794,0.0002148032,1
0,1380,0.0002207049,0.0001499767,0.0002093074,1
0,1395,0.0002149103,0.0001460405,0.0002040233,1
0,1410,0.0002093487,0.0001422624,0.0001989424,1
0,1425,0.0002040068,0.0001386335,0.0001940537,1
0,1440,0.0001988728,0.0001351457,0.0001893473,1
