"Time [h]","Avg [mg/l]","Var [mg/l]"
0.25,0.01106758,0.01054974
0.5,0.01250018,0.00625528
0.75,0.01106758,0.006942124
1,0.008853939,0.005121788
1.5,0.008501889,0.004918135
2,0.007919147,0.003962862
2.5,0.005841439,0.002322398
3,0.004487272,0.001847954
4,0.003553537,0.001025698
6,0.002930626,0.001165137
8,0.001875546,0.001145631
