"Time [h]","Avg [mg/l]","Var"
0.5,0.02333053,1.53742
1,0.01598724,1.367254
1.5,0.0138519,1.332074
2,0.01095526,1.459321
3,0.007507092,1.598724
4,0.004882916,1.619698
6,0.002415566,1.869382
8,0.001491368,1.893907
