"Time [h]","Avg [mg/l]","Var [mg/l]"
0,0.0009999999,NaN
0.5,0.02510122,0.03886638
1,0.04736842,0.03886641
1.5,0.05384615,0.03765183
2,0.05425101,0.03400809
3,0.04574899,0.0291498
4,0.02712551,0.02186234
5,0.01862348,0.01578948
6,0.0145749,NaN
8,0.008906882,NaN
10,0.006477733,NaN
