"Time [h]","Avg [mg/l]"
0.25,0.005147309
0.5,0.008555996
0.75,0.007098001
1,0.006912567
1.5,0.005018498
2,0.00384361
2.5,0.002943682
3,0.002378262
4,0.00168199
6,0.0007765206
8,0.0005352838
10,0.0003998114
24,5.048453E-05
