"Time [h]","Avg [µmol/l]"
4,0.0005
4.5,0.04979592
5,0.04816327
6,0.03444898
7,0.02269388
8,0.0164898
10,0.01338776
12,0.009959184
16,0.006040816
24,0.003102041
