"Time [h]","Avg [µmol/l]"
4,0.0005
4.5,0.04146939
5,0.05306123
6,0.03983673
7,0.02563265
8,0.02040816
10,0.01518367
12,0.0117551
16,0.008489796
24,0.005061224
