"Time [h]","Avg [mg/l]","Var [mg/l]"
0.25,0.0003656307,0.001266582
0.5,0.0274223,0.03673087
0.75,0.04424132,0.03546429
1,0.04753199,0.02786481
1.5,0.04826325,0.0227985
2,0.04680073,0.01519899
3,0.03619744,0.01139924
4,0.02193784,0.006332921
5,0.0142596,0.005066322
6,0.008775137,0.003799745
18,0.0007312614,2.064764E-10
