"Time [h]","Avg [mg/l]","Var [mg/l]"
0,5E-05,NaN
0.25,0.02739353,0.009471895
0.5,0.0290971,0.009063029
0.75,0.02487223,0.008722315
1,0.02132879,0.008926746
1.5,0.01662692,0.004770021
2,0.01458262,0.00449744
3,0.00967632,0.004020443
4,0.006609881,0.00286201
5,0.004633731,0.002521295
6,0.003884157,0.002453152
