"Time [h]","Avg [mg/l]"
0.08,0.001404163
0.16,0.01885978
0.25,0.04189898
0.33,0.06110057
0.5,0.05135668
0.75,0.04615321
1,0.04200329
1.5,0.03196778
2,0.02575769
3,0.01716463
4,0.01208287
6,0.005715175
8,0.003191968
