"Time [h]","Avg [mg/l]"
108,0.08165456
108.08,0.02648396
108.17,0.01631977
108.33,0.01051974
108.5,0.007849926
108.75,0.006338055
109,0.00506007
109.08,0.004783069
109.17,0.004420555
109.25,0.004273728
109.5,0.003450621
109.75,0.00304865
110,0.002754849
110.5,0.00219937
111,0.001987415
111.5,0.001483027
112,0.00115763
113,0.0009242089
114,0.000644601
