"Time [h]","Avg [mg/l]","Var [mg/l]"
0.25,0.535,0.1838478
0.5,0.79,0.4242641
1,1.015,0.4101219
2,2.105,0.9192388
3,4.05,2.91328
4,2.865,1.598061
6,1.355,0.834386
8,0.975,0.2828427
12,0.215,0.1414214
