"Time [h]","Avg [mg/l]","Var"
114.5,0.002824512,1.184636
115,0.001226533,1.200177
115.5,0.0007474548,1.13921
116,0.000449604,1.200177
117,0.0002500997,1.053517
118,0.0001427963,1.264407
120,6.120578E-05,1.297799
122,4.476549E-05,1.314825
