"Time [h]","Avg [mg/l]","Var [mg/l]"
0.5,2.49,2.9133
1,8.77,4.2973
1.5,9.32,3.3552
2,8.95,2.864
2.5,8.51,2.0424
3,7.9,1.817
4,6.76,1.4872
6,4.29,1.0725
8,3.08,1.078
10,1.89,0.8316
12,1.16,0.6844
16,0.35,0.399
24,0.01,0.06
