"Time [h]","Avg [mg/l]"
1.5,0.157658
2,1.057538
2.5,2.164724
3,4.194668
4,5.316794
6,5.922681
8,4.249607
10,3.480616
12,2.203321
16,0.8723328
24,0.1125239
