"Time [h]","Avg [mg/l]","Var [mg/l]"
0.5,0.0689598,0.1291512
1,0.0579323,0.09421921
2,0.0376251,0.0558576
3,0.0260419,0.06627961
4,0.0162026,NaN
5,0.0115996,NaN
6,0.0090313,NaN
8,0.00505984,NaN
12,0.00263218,NaN
24,0.000304768,NaN
