"Time [h]","Avg [mg/l]","Var [mg/l]"
0,5E-05,NaN
0.25,0.02013605,0.01115646
0.5,0.02782313,0.01040816
0.75,0.02510204,0.00802721
1,0.01938775,0.007006798
1.5,0.01816327,0.006054427
2,0.01537415,0.004965987
3,0.01034014,0.003537419
4,0.007278912,0.002857143
5,0.00489796,0.002653061
6,0.003809524,0.001836735
