"Time [h]","Avg [mg/l]","Var [mg/l]"
0.25,0.05504765,0.0401428
0.5,0.04686184,0.02344589
0.75,0.03618994,0.01882777
1,0.0287152,0.01456546
1.5,0.02477761,0.01243343
2,0.01870915,0.007815294
3,0.01118979,0.004973369
4,0.008289148,0.004263476
5,0.005743158,NaN
6,0.00426289,NaN
