"Time [h]","Avg [mg/l]","Var [mg/l]"
0.1666667,0.01033989,0.02481217
0.3333333,0.1731485,0.02821109
0.75,0.1738283,0.01325581
1,0.1537746,0.02209302
1.5,0.1530948,0.02719142
2,0.1306619,0.01937387
2.5,0.1201252,0.01121645
3,0.1051699,0.0135957
4,0.08647584,0.01767442
5,0.06166368,0.0139356
6,0.03073345,0.01427549
7,0.01509839,0.0186941
