"Time [h]","Avg [mg/l]","Var [mg/l]"
0,0.2,NaN
0.5,2.576471,1.764705
1,10.44706,4.941175
1.5,12.49412,4.023527
2,11.82353,3.77647
2.5,10.58823,2.223535
3,9.6,2.329412
4,8.188235,2.4
6,5.647059,1.835294
9,3.423529,1.376471
12,1.729412,1.2
18,0.9529412,0.6
24,0.7058824,0.2470588
