"Time [h]","Avg [µmol/l]"
0,0.0005
0.5,0.01991837
1,0.01697959
2,0.01077551
3,0.006367347
4,0.004081633
6,0.002612245
8,0.001306122
12,0.001142857
20,0.0001632653
