"Time [h]","Avg [mg/l]","Var [mg/l]"
0.08333334,0.002,0.00206
0.25,0.00506,0.00405
0.5,0.00744,0.00366
1,0.00617,0.00116
1.25,0.00575,0.00217
1.5,0.00439,0.00105
1.75,0.00397,0.00097
2,0.00358,0.00089
2.5,0.00269,0.00067
3,0.0025,0.00078
4,0.00169,0.00059
5,0.00131,0.00038
6,0.00111,0.00039
7,0.00092,0.00027
8,0.00069,0.00031
9,0.00061,0.00028
