"Time [h]","Avg [mg/l]","Var [mg/l]"
2.5,0.01868173,0.02758378
3,0.03495523,0.01668164
3.5,0.03400785,NaN
4,0.03435674,NaN
5,0.0278325,NaN
6,0.02427024,NaN
7,0.01700438,NaN
8,0.01288747,NaN
9,0.01228899,NaN
19,0.003148958,NaN
