"Time [h]","Avg [mg/l]","Var [mg/l]"
0.5,0.008587155,0.01009608
1,0.04656881,0.0240217
1.5,0.04348624,0.0146219
2,0.03743119,0.00939981
3,0.02366973,0.00974792
4,0.01706422,0.008355376
5,0.01045872,0.005222097
6,0.007486238,0.003481408
8,0.00506422,NaN
10,0.003302752,NaN
