"Time [h]","Avg [mg/l]"
0.25,0.006622334
0.33,0.03362013
0.5,0.03712994
0.75,0.04132577
1,0.04346083
1.5,0.04946602
2,0.03194598
3,0.02325201
4,0.01374342
6,0.006558781
8,0.003204098
