"Time [h]","Avg [mg/l]"
0.25,0.007217612
0.5,0.04272161
0.75,0.04683517
1,0.04270817
1.25,0.04715435
1.5,0.04150267
2,0.03920428
3,0.02972177
4,0.02285464
5,0.01503755
6,0.00968621
7,0.006697373
8,0.005077395
10,0.002981042
12,0.00197421
