"Time [h]","Avg [mg/l]","Var [mg/l]"
0.1666667,0.01205609,0.01752388
0.3333333,0.04835649,0.02268436
0.5,0.04535368,0.02127572
0.6666667,0.03822668,0.01674503
1,0.02715656,0.009470755
1.5,0.02240516,0.007813723
2,0.01697065,0.006917926
3,0.01083435,0.003469483
4,0.007534079,0.002202336
6,0.003968331,0.001160009
8,0.002045996,0.0008962399
10,0.001278582,0.0006403636
24,0.0001142891,9.361615E-05
