"Time [h]","Avg [mg/l]","Var"
90.5,4.968513E-05,1.169296
91,6.364636E-05,1.349549
91.5,4.086211E-05,2.102042
92,3.107798E-05,1.248034
93,3.77884E-05,1.440425
94,3.107798E-05,NaN
