"Time [h]","Avg [mg/l]","Var [mg/l]"
0.05,0.1168272,0.02716936
0.1,0.1041465,0.02747169
0.15,0.1020316,0.02233923
0.2,0.0896515,0.01750905
0.25,0.08693279,0.01781162
0.3333333,0.07998593,0.01811282
0.5,0.07514915,0.01509431
0.75,0.06185713,0.01267991
1,0.05399871,0.01690527
1.5,0.04160297,0.006037373
2,0.0331307,0.00724527
3,0.0249426,0.006943384
4,0.01343272,0.004528637
8,0.004226058,NaN
