"Time [h]","Avg [kg]"
3,1.112785E-06
4,2.679656E-06
5,4.677494E-06
6,7.105263E-06
7,9.103101E-06
8,1.181864E-05
9,1.381613E-05
10,1.610071E-05
11,1.88159E-05
12,2.09E-05
