"Time [h]","Avg [mg/l]","Var [mg/l]"
0.08333334,0.1942218,0.007817535
0.1666667,0.1785868,0.00781752
0.3333333,0.1670304,0.01155635
0.5,0.158873,0.01461539
0.75,0.1439177,0.007817535
1,0.1381395,0.0183542
1.5,0.120805,0.01121646
2,0.1024508,0.02209303
3,0.08069767,0.02447227
4,0.05588551,0.02515206
5,0.04194991,0.03908766
6,0.02971377,0.03466905
7,0.01135957,0.02141324
