"Time [h]","Avg [mg/l]","Var [mg/l]"
0.5,1.31,1.9388
1,8.7,3.219
1.5,9.8,3.038
2,9.15,2.2875
2.5,8.66,1.9918
3,7.92,1.98
4,6.71,1.6104
6,4.19,1.0056
8,2.97,0.9207
10,1.8,0.72
12,1.09,0.5668
16,0.3,0.324
24,0.02,0.0706
